сторон у многоугольника | результат
4 | 0.5216673074771147
5 | 0.4500434528895108
6 | 0.4007374204872891
7 | 0.3533274081510006
8 | 0.3192966430826831
9 | 0.2919609565591161
10 | 0.2679410336317918
11 | 0.2482241336246579
12 | 0.2290670314218390
13 | 0.2141045261207237
14 | 0.1999430253864627
15 | 0.1888310072003515
16 | 0.1775631732459153
17 | 0.1687826543591019
18 | 0.1590385071203302
19 | 0.1511646521555127
20 | 0.1449001566351235
100 | 0.0308926132305836
1000 | 0.0031463342713340
10000 | 0.0003138655042728
100000 | 0.0000315337538378
1000000 | 0.0000031444227910
10000000 | 0.0000002973889645
100000000 | 0.0000000494251412
1000000000 | 0.0000000043142589
